wl,sample11m,sample12m,sample13m,sample14m,sample15m,sample16m,sample17m,sample18m,sample19m,sample20m,sample21m,sample22m,sample23m,sample24m,sample25m,sample26m,sample27m,sample28m,sample29m,sample30m,sample31p,sample32p,sample33p,sample34p,sample35p,sample36p,sample37p,sample38p,sample39f,sample40f,sample41f,sample42f,sample43f,sample44f,sample45f,sample46f,sample47f ,sample48f,sample49f,sample50f,sample51f,sample52f,sample53t,sample54t,sample55t,sample56t,sample57t,sample58t,sample59t,sample60t,sample61t,sample62t,sample63t,sample64t,sample65t,sample66t,sample67t,sample68t,sample69t,sample70t,sample71t,sample72t,sample73t,sample74t,sample75t,sample76t,sample77t,sample78t,sample79t,sample80t,sample81t,sample82t,sample83t
495.44,15.25333333,16.73,18.94666667,17.71333333,18.45333333,19.48,18.91,16.69666667,18.12333333,16.878,17.32,15.2,16.09333333,13.615,18.095,17.98,16.235,18.55,18.49333333,16.56333333,16.95,16.28666667,17.9825,15.8525,17.8,17.89,16.36666667,17.305,3.493333333,3.943333333,2.805,1.655,2.15,1.67,3.136666667,2.5125,2.425,1.713333333,3.2775,1.955,2.25,1.966666667,3.08,3.966666667,2.793333333,2.92,6.23,4.476666667,3.383333333,5.42,5.033333333,5.066666667,2.583333333,2.953333333,2.58,5.7,4.463333333,2.06,4.276666667,1.223333333,3.116666667,3.126666667,3.31,2.173333333,2.44,5.03,4.94,3.67,4.216666667,3.683333333,3.473333333,3.41,3.3275
495.793,15.24333333,16.70666667,18.92666667,17.73,18.45666667,19.50666667,18.84333333,16.70333333,18.15,16.852,17.28666667,15.18333333,16.07,13.5875,18.0775,17.98666667,16.2125,18.5425,18.46833333,16.53666667,16.9375,16.27,17.9525,15.8375,17.83333333,17.896,16.39333333,17.2875,3.513333333,3.966666667,2.83,1.67,2.16,1.683333333,3.143333333,2.51,2.4275,1.716666667,3.29,1.96,2.266666667,1.983333333,3.11,3.983333333,2.79,2.933333333,6.266666667,4.493333333,3.4,5.446666667,5.053333333,5.086666667,2.583333333,2.966666667,2.6,5.713333333,4.48,2.063333333,4.35,1.233333333,3.12,3.153333333,3.35,2.19,2.453333333,5.05,4.956666667,3.68,4.236666667,3.703333333,3.496666667,3.44,3.3375
496.146,15.2,16.67333333,18.93,17.73666667,18.46,19.52333333,18.80333333,16.69666667,18.15333333,16.818,17.26,15.16333333,16.05333333,13.5625,18.0675,17.99666667,16.18,18.54,18.45166667,16.51333333,16.905,16.23,17.92,15.805,17.83333333,17.876,16.39333333,17.265,3.516666667,3.97,2.835,1.685,2.17,1.693333333,3.146666667,2.52,2.43,1.716666667,3.3,1.96,2.27,1.983333333,3.14,4.006666667,2.816666667,2.953333333,6.3,4.513333333,3.423333333,5.473333333,5.083333333,5.106666667,2.596666667,2.986666667,2.643333333,5.743333333,4.503333333,2.066666667,4.42,1.253333333,3.143333333,3.183333333,3.4,2.22,2.48,5.08,4.98,3.71,4.27,3.733333333,3.523333333,3.48,3.365
496.499,15.15333333,16.65,18.92,17.71666667,18.43333333,19.51666667,18.77666667,16.68,18.14666667,16.786,17.23,15.15666667,16.03666667,13.535,18.055,18.00333333,16.1625,18.5475,18.45,16.5,16.8525,16.18,17.8675,15.77,17.81,17.83,16.37,17.2175,3.523333333,3.98,2.845,1.695,2.18,1.69,3.153333333,2.5225,2.4275,1.713333333,3.295,1.97,2.276666667,1.986666667,3.18,4.033333333,2.836666667,2.973333333,6.353333333,4.54,3.46,5.503333333,5.116666667,5.133333333,2.62,3.006666667,2.69,5.773333333,4.52,2.083333333,4.496666667,1.27,3.17,3.22,3.44,2.26,2.503333333,5.11,5.003333333,3.733333333,4.3,3.78,3.553333333,3.53,3.3875
496.852,15.1,16.61333333,18.90333333,17.69333333,18.40333333,19.5,18.75666667,16.66,18.12333333,16.76,17.19666667,15.13,16.01333333,13.505,18.0325,18.01,16.1375,18.5425,18.435,16.48,16.79,16.13,17.8225,15.7225,17.79333333,17.776,16.35,17.165,3.526666667,3.99,2.855,1.715,2.19,1.696666667,3.146666667,2.515,2.415,1.71,3.29,1.975,2.28,1.993333333,3.19,4.046666667,2.843333333,2.98,6.386666667,4.553333333,3.473333333,5.546666667,5.143333333,5.136666667,2.63,3.023333333,2.72,5.796666667,4.53,2.093333333,4.553333333,1.286666667,3.18,3.246666667,3.486666667,2.276666667,2.52,5.136666667,5.013333333,3.766666667,4.326666667,3.803333333,3.57,3.563333333,3.4225
497.205,15.06,16.57666667,18.89,17.66333333,18.37666667,19.48333333,18.74333333,16.62666667,18.09,16.71,17.13666667,15.09333333,15.98333333,13.4675,18.0025,18.00666667,16.095,18.525,18.41166667,16.44333333,16.73,16.07,17.765,15.655,17.78,17.708,16.30333333,17.0975,3.53,3.993333333,2.86,1.71,2.186666667,1.7,3.153333333,2.52,2.415,1.713333333,3.295,1.99,2.28,1.996666667,3.22,4.063333333,2.853333333,2.993333333,6.416666667,4.563333333,3.49,5.586666667,5.173333333,5.143333333,2.646666667,3.04,2.746666667,5.833333333,4.536666667,2.093333333,4.62,1.29,3.196666667,3.283333333,3.526666667,2.296666667,2.54,5.16,5.023333333,3.79,4.35,3.836666667,3.59,3.596666667,3.44
497.558,15.00666667,16.54,18.88,17.63333333,18.34,19.47333333,18.72,16.60666667,18.05666667,16.674,17.1,15.06333333,15.95666667,13.44,17.9775,17.99333333,16.07,18.5,18.38666667,16.41,16.675,16.02333333,17.7275,15.6,17.75333333,17.648,16.27666667,17.05,3.536666667,4.01,2.87,1.72,2.19,1.703333333,3.15,2.5225,2.425,1.713333333,3.3,2,2.293333333,2.01,3.27,4.103333333,2.88,3.023333333,6.463333333,4.59,3.53,5.626666667,5.213333333,5.176666667,2.676666667,3.07,2.79,5.863333333,4.57,2.12,4.706666667,1.316666667,3.233333333,3.336666667,3.59,2.336666667,2.57,5.203333333,5.06,3.836666667,4.383333333,3.88,3.636666667,3.643333333,3.48
497.91,14.96333333,16.5,18.86666667,17.6,18.31333333,19.45,18.69,16.59,18.03,16.636,17.05666667,15.03,15.93333333,13.405,17.965,17.98833333,16.04,18.4875,18.37,16.37,16.61,15.97333333,17.6825,15.555,17.73333333,17.586,16.25666667,17.0025,3.536666667,4.023333333,2.88,1.725,2.196666667,1.706666667,3.163333333,2.5275,2.4325,1.72,3.305,2.005,2.296666667,2.02,3.3,4.123333333,2.886666667,3.046666667,6.506666667,4.606666667,3.556666667,5.66,5.243333333,5.193333333,2.68,3.08,2.816666667,5.896666667,4.596666667,2.133333333,4.78,1.33,3.256666667,3.37,3.633333333,2.363333333,2.596666667,5.226666667,5.09,3.863333333,4.403333333,3.903333333,3.67,3.68,3.5125
498.263,14.90333333,16.46666667,18.83666667,17.57,18.28,19.41333333,18.63666667,16.55666667,18.00666667,16.6,17.02,14.99666667,15.89333333,13.3675,17.9425,17.97166667,16.0075,18.4575,18.34166667,16.32333333,16.5525,15.92,17.6375,15.5175,17.71333333,17.544,16.22666667,16.945,3.526666667,4.02,2.87,1.72,2.19,1.716666667,3.166666667,2.5375,2.44,1.723333333,3.315,1.99,2.293333333,2.013333333,3.33,4.143333333,2.883333333,3.063333333,6.536666667,4.616666667,3.583333333,5.686666667,5.266666667,5.21,2.683333333,3.09,2.846666667,5.91,4.613333333,2.14,4.836666667,1.34,3.263333333,3.393333333,3.67,2.386666667,2.603333333,5.253333333,5.096666667,3.896666667,4.426666667,3.933333333,3.693333333,3.71,3.5375
498.616,14.86,16.43666667,18.81666667,17.55,18.26333333,19.39333333,18.61,16.53333333,17.98333333,16.566,16.97666667,14.97666667,15.86,13.3325,17.9125,17.96,15.965,18.4375,18.31666667,16.29666667,16.4975,15.85333333,17.5775,15.465,17.68666667,17.494,16.17333333,16.885,3.526666667,4.02,2.885,1.72,2.196666667,1.713333333,3.166666667,2.535,2.4425,1.726666667,3.32,1.985,2.3,2.02,3.36,4.163333333,2.896666667,3.083333333,6.586666667,4.62,3.616666667,5.71,5.293333333,5.223333333,2.7,3.11,2.88,5.936666667,4.64,2.15,4.91,1.363333333,3.28,3.436666667,3.72,2.403333333,2.616666667,5.286666667,5.1,3.93,4.446666667,3.956666667,3.733333333,3.75,3.57
