tri_maleblue_ds,tri_femaleblue_ds,tri_maleblack_ds,tri_femaleblack_ds,tri_maleblue_dl,tri_femaleblue_dl,tri_maleblack_dl,tri_femaleblack_dl,tetra_maleblue_ds,tetra_femaleblue ds,tetra_maleblack_ds,tetra_femaleblack_ds,tetra_maleblue_dl,tetra_femaleblue_dl,tetra_maleblack_dl,tetra_femaleblack_dl,tri_male_contrat_ds,tri_female_contrast_ds,tri_male_contrat_dl,tri_female_contrast_dl,tetra_male_contrat_ds,tetra_female_contrast_ds,tetra_male_contrat_dl,tetra_female_contrast_dl
0.267990395,1.449434012,1.589029184,0.45305961,1.04748004,6.138219339,5.647786626,2.355161991,4.875795588,1.855700326,2.007693836,2.228609753,0.016298514,6.144709863,5.693050053,2.355161991,4.13775709,0.359874354,15.7025977,1.7657078,12.87247865,4.041202405,14.085327,1.4109181
1.224275583,-0.018089607,1.614959945,0.191333603,2.844622456,1.343714413,4.981314367,2.563842487,4.181681396,0.580834022,2.145262742,0.441065679,1.803846367,1.509340138,5.088913544,2.563842487,4.316386396,0.424793503,14.153278,4.92526,12.89770655,4.490655782,12.6080808,4.2969081
0.790097382,0.936330326,,0.240444465,3.037902591,3.096595061,,2.498660205,3.545271622,0.906566083,,0.31652993,2.088462589,3.036395549,,2.498660205,,1.375011513,,3.4417921,,3.305914112,,3.2264888
1.011792342,0.068823333,,-0.14624802,2.080035558,5.410480419,,4.944465964,4.632717957,-0.19330703,,-0.068159837,0.91180146,5.394745507,,4.944465964,,2.843179218,,0.4707506,,7.998120259,,0.0154379
0.351884328,1.791226681,,1.336012385,3.245962425,4.427957186,,3.416992099,3.431245562,2.169837668,,1.427713021,2.274578482,4.405237864,,3.416992099,,0.693172703,,1.6910935,,1.681796344,,1.6749793
0.618614683,0.08576087,,1.043162988,3.123737659,4.51265185,,4.097830614,3.654686911,0.170604154,,1.52684565,2.116396644,4.612634424,,4.097830614,,0.425511597,,0.3779385,,1.546435485,,0.1900555
0.592908938,-0.07544146,,,2.257767262,5.249530422,,,4.388708879,0.124622374,,,1.095873599,5.286767786,,,,,,,,,,
0.353090273,0.485247925,,,1.598211163,4.276657455,,,3.987400348,0.53806706,,,0.520583556,4.334300077,,,,,,,,,,
0.433551344,0.021465695,,,0.937685693,1.988626858,,,4.444801488,-0.145339937,,,0.008947765,2.015708761,,,,,,,,,,
0.073771149,0.16597382,,,1.753800591,1.183304788,,,4.399912918,0.168299854,,,0.624622582,1.262214937,,,,,,,,,,
0.061844402,0.987974999,,,1.000409362,6.7720404,,,4.436256422,0.792894694,,,0.076934643,6.589378358,,,,,,,,,,
0.477119138,1.453439597,,,3.55063315,4.168233776,,,3.392454134,2.03342168,,,2.611081661,4.310320924,,,,,,,,,,
